Trial,isi,doors,faces,doors_type,faces_type,practice_isi,practice_doors,practice_faces,practice_doors_type,practice_faces_type
1,1,SD001.jpg,FF001.jpg,green,latino,2,P_DD901.jpg,P_MF901.jpg,brown,white
2,2.5,SD002.jpg,FF002.jpg,purple,black,2,P_DD902.jpg,P_FF901.jpg,green,asian
3,2.5,SD003.jpg,FF003.jpg,yellow,black,2,P_SD901.jpg,P_MF902.jpg,yellow,latino
4,1.25,SD004.jpg,FF004.jpg,white,white,2,P_SD902.jpg,P_FF902.jpg,brown,latino
5,6.5,SD005.jpg,FF005.jpg,black,white,,,,,
6,1,SD006.jpg,FF006.jpg,black,asian,,,,,
7,1.75,SD007.jpg,FF007.jpg,brown,asian,,,,,
8,2,SD008.jpg,FF008.jpg,blue,black,,,,,
9,3,SD009.jpg,FF009.jpg,blue,asian,,,,,
10,3.75,SD010.jpg,FF010.jpg,yellow,white,,,,,
11,1,SD011.jpg,FF011.jpg,blue,white,,,,,
12,4,SD012.jpg,FF012.jpg,brown,latino,,,,,
13,2,SD013.jpg,FF013.jpg,blue,white,,,,,
14,1,SD014.jpg,FF014.jpg,black,black,,,,,
15,5.5,SD015.jpg,FF015.jpg,yellow,black,,,,,
16,2,SD016.jpg,FF016.jpg,brown,asian,,,,,
17,1.25,SD017.jpg,FF017.jpg,blue,asian,,,,,
18,4.5,SD018.jpg,FF018.jpg,green,asian,,,,,
19,2,SD019.jpg,FF019.jpg,brown,latino,,,,,
20,5.5,SD020.jpg,FF020.jpg,green,asian,,,,,
21,3,SD021.jpg,FF021.jpg,blue,black,,,,,
22,2.75,SD022.jpg,FF022.jpg,red,latino,,,,,
23,3,SD023.jpg,FF023.jpg,blue,white,,,,,
24,1.5,SD024.jpg,FF024.jpg,blue,asian,,,,,
25,1.25,SD025.jpg,FF025.jpg,green,black,,,,,
26,3.25,SD026.jpg,FF026.jpg,gray,latino,,,,,
27,6,SD027.jpg,FF027.jpg,green,latino,,,,,
28,1.5,SD028.jpg,FF028.jpg,grey,asian,,,,,
29,6.25,SD029.jpg,FF029.jpg,black,asian,,,,,
30,1.5,SD030.jpg,FF030.jpg,red,white,,,,,
31,3.75,SD031.jpg,FF031.jpg,red,latino,,,,,
32,1,SD032.jpg,FF032.jpg,purple,black,,,,,
33,5.25,SD033.jpg,FF033.jpg,brown,black,,,,,
34,1.25,SD034.jpg,FF034.jpg,red,white,,,,,
35,1.5,SD035.jpg,FF035.jpg,blue,latino,,,,,
36,2.25,SD036.jpg,FF036.jpg,black,black,,,,,
37,2.75,SD037.jpg,FF037.jpg,red,latino,,,,,
38,2.25,SD038.jpg,FF038.jpg,brown,latino,,,,,
39,2.75,SD039.jpg,FF039.jpg,blue,white,,,,,
40,1.25,SD040.jpg,FF040.jpg,brown,black,,,,,
41,1,SD041.jpg,FF041.jpg,brown,latino,,,,,
42,1.75,SD042.jpg,FF042.jpg,purple,white,,,,,
43,2.75,DD001.jpg,MF001.jpg,blue,black,,,,,
44,2.75,DD002.jpg,MF002.jpg,brown,asian,,,,,
45,1,DD003.jpg,MF003.jpg,green,latino,,,,,
46,5.75,DD004.jpg,MF004.jpg,blue,white,,,,,
47,1.75,DD005.jpg,MF005.jpg,brown,white,,,,,
48,2,DD006.jpg,MF006.jpg,brown,black,,,,,
49,2.25,DD007.jpg,MF007.jpg,blue,asian,,,,,
50,1.75,DD008.jpg,MF008.jpg,blue,white,,,,,
51,1.75,DD009.jpg,MF009.jpg,white,latino,,,,,
52,1.25,DD010.jpg,MF010.jpg,green,asian,,,,,
53,2.75,DD011.jpg,MF011.jpg,brown,latino,,,,,
54,6.5,DD012.jpg,MF012.jpg,brown,black,,,,,
55,2.25,DD013.jpg,MF013.jpg,brown,latino,,,,,
56,4,DD014.jpg,MF014.jpg,green,asian,,,,,
57,5.75,DD015.jpg,MF015.jpg,blue,black,,,,,
58,1.5,DD016.jpg,MF016.jpg,brown,asian,,,,,
59,1.25,DD017.jpg,MF017.jpg,red,white,,,,,
60,6.25,DD018.jpg,MF018.jpg,brown,latino,,,,,
61,3.75,DD019.jpg,MF019.jpg,blue,white,,,,,
62,1.5,DD020.jpg,MF020.jpg,brown,latino,,,,,
63,5,DD021.jpg,MF021.jpg,red,black,,,,,
64,2,DD022.jpg,MF022.jpg,blue,latino,,,,,
65,5.75,DD023.jpg,MF023.jpg,blue,black,,,,,
66,3.75,DD024.jpg,MF024.jpg,white,asian,,,,,
67,2.5,DD025.jpg,MF025.jpg,brown,white,,,,,
68,3,DD026.jpg,MF026.jpg,white,asian,,,,,
69,1.25,DD027.jpg,MF027.jpg,blue,white,,,,,
70,3,DD028.jpg,MF028.jpg,red,black,,,,,
71,4.75,DD029.jpg,MF029.jpg,brown,white,,,,,
72,2.5,DD030.jpg,MF030.jpg,brown,black,,,,,
73,1,DD031.jpg,MF031.jpg,pink,latino,,,,,
74,6.5,DD032.jpg,MF032.jpg,red,white,,,,,
75,1,DD033.jpg,MF033.jpg,red,white,,,,,
76,1.25,DD034.jpg,MF034.jpg,purple,latino,,,,,
77,1.25,DD035.jpg,MF035.jpg,brown,latino,,,,,
78,1,DD036.jpg,MF036.jpg,brown,black,,,,,
79,3.5,DD037.jpg,MF037.jpg,brown,asian,,,,,
80,3.25,DD038.jpg,MF038.jpg,brown,latino,,,,,
81,3.25,DD039.jpg,MF039.jpg,white,black,,,,,
82,1,DD040.jpg,MF040.jpg,black,asian,,,,,
83,1.5,DD041.jpg,MF041.jpg,brown,white,,,,,
84,3.75,DD042.jpg,MF042.jpg,brown,asian,,,,,